identificador;peso;valor
1;50;898
2;91;942
3;97;13
4;33;581
5;99;621
6;45;131
7;51;405
8;69;866
9;39;788
10;80;225
11;72;348
12;38;757
13;6;714
14;79;159
15;2;904
16;23;223
17;68;36
18;88;243
19;15;696
20;75;837
21;73;98
22;7;985
23;10;351
24;10;744
25;32;106
26;4;731
27;13;479
28;64;475
29;22;323
30;26;634
31;26;937
32;93;264
33;44;731
34;34;117
35;21;268
36;5;885
37;88;534
38;8;852
39;7;155
40;15;319
41;92;909
42;31;521
43;2;430
44;25;344
45;61;801
46;83;197
47;48;308
48;53;953
49;9;733
50;99;593
51;91;121
52;51;516
53;58;761
54;1;355
55;53;579
56;82;948
57;82;330
58;89;14
59;55;179
60;30;76
61;78;543
62;67;333
63;47;655
64;11;989
65;75;84
66;21;846
67;59;925
68;92;675
69;38;59
70;35;501
71;59;806
72;50;462
73;36;503
74;36;25
75;58;924
76;43;271
77;62;688
78;61;2
79;50;284
80;93;214
81;33;385
82;93;543
83;44;102
84;78;371
85;64;115
86;55;823
87;49;430
88;39;333
89;58;923
90;45;851
91;4;352
92;14;502
93;97;381
94;74;843
95;48;191
96;12;129
97;86;96
98;37;33
99;73;878
100;51;867
